Op_#	Return_code	Description
1	-1	Date out of range
2	-1	Non-exist space type
3	-1	Non-exist operation
4	-1	Non-exist member type
5	-1	Member name with numbers
6	-1	Negative time
7	12	Exceed available number.
8	13	Exceed available time.
9	0	Success.
10	0	Success.
11	0	Success.
12	0	Success.
13	0	Success.
14	0	Success.
15	0	Success.
16	0	Success.
17	0	Success.
18	0	Success.
19	14	There is no remain space. this space is avilable after 12.
20	0	Success.
21	1	Non exist resource.
22	2	Exceeds your possible number of borrow. Possible # of borrows: 1
23	2	Exceeds your possible number of borrow. Possible # of borrows: 1
24	5	Other member already borrowed this book. This book will be returned at 19/04/03
25	7	Delayed return. You'll be restricted until 19/04/05
26	6	Restricted member until 19/04/05
27	0	Success.
28	0	Success.
29	3	You did not borrow this book.
